  n  E[WN]   sigma_WN     W50     W90      W95     W99
119   5.14    0.59       5.09    5.92     6.19    6.73
120   5.14    0.59       5.10    5.93     6.20    6.74
121   5.15    0.59       5.10    5.93     6.20    6.74
122   5.16    0.59       5.11    5.94     6.21    6.75
123   5.16    0.59       5.11    5.94     6.21    6.75
124   5.17    0.59       5.12    5.95     6.22    6.76
125   5.17    0.59       5.13    5.95     6.22    6.76
126   5.18    0.59       5.13    5.96     6.23    6.77
127   5.18    0.59       5.14    5.96     6.23    6.77
128   5.19    0.59       5.14    5.97     6.23    6.78
129   5.19    0.59       5.15    5.97     6.24    6.78
130   5.20    0.59       5.15    5.98     6.24    6.78
131   5.21    0.59       5.16    5.98     6.25    6.79
132   5.21    0.59       5.16    5.99     6.25    6.79
133   5.22    0.59       5.17    5.99     6.26    6.80
134   5.22    0.59       5.17    6.00     6.26    6.80
135   5.23    0.59       5.18    6.00     6.27    6.80
136   5.23    0.59       5.18    6.00     6.27    6.81
137   5.24    0.59       5.19    6.01     6.28    6.81
138   5.24    0.59       5.19    6.01     6.28    6.82
139   5.25    0.59       5.20    6.02     6.28    6.82
140   5.25    0.58       5.20    6.02     6.29    6.83
141   5.26    0.58       5.21    6.03     6.29    6.83
142   5.26    0.58       5.21    6.03     6.30    6.83
143   5.27    0.58       5.22    6.04     6.30    6.84
144   5.27    0.58       5.22    6.04     6.30    6.84
145   5.28    0.58       5.23    6.04     6.31    6.84
146   5.28    0.58       5.23    6.05     6.31    6.85
147   5.28    0.58       5.24    6.05     6.32    6.85
148   5.29    0.58       5.24    6.06     6.32    6.86
149   5.29    0.58       5.25    6.06     6.32    6.86
150   5.30    0.58       5.25    6.07     6.33    6.86
151   5.30    0.58       5.26    6.07     6.33    6.87
152   5.31    0.58       5.26    6.07     6.34    6.87
153   5.31    0.58       5.27    6.08     6.34    6.87
154   5.32    0.58       5.27    6.08     6.34    6.88
155   5.32    0.58       5.27    6.09     6.35    6.88
156   5.33    0.58       5.28    6.09     6.35    6.89
157   5.33    0.58       5.28    6.09     6.36    6.89
158   5.33    0.58       5.29    6.10     6.36    6.89
159   5.34    0.58       5.29    6.10     6.36    6.90
160   5.34    0.58       5.30    6.10     6.37    6.90
161   5.35    0.58       5.30    6.11     6.37    6.90
162   5.35    0.58       5.30    6.11     6.37    6.91
163   5.36    0.58       5.31    6.12     6.38    6.91
164   5.36    0.58       5.31    6.12     6.38    6.91
165   5.36    0.58       5.32    6.12     6.38    6.92
166   5.37    0.58       5.32    6.13     6.39    6.92
167   5.37    0.58       5.32    6.13     6.39    6.92
168   5.38    0.57       5.33    6.13     6.40    6.93
169   5.38    0.57       5.33    6.14     6.40    6.93
170   5.38    0.57       5.34    6.14     6.40    6.93
171   5.39    0.57       5.34    6.14     6.41    6.94
172   5.39    0.57       5.34    6.15     6.41    6.94
173   5.40    0.57       5.35    6.15     6.41    6.94
174   5.40    0.57       5.35    6.16     6.42    6.94
175   5.40    0.57       5.36    6.16     6.42    6.95
176   5.41    0.57       5.36    6.16     6.42    6.95
177   5.41    0.57       5.36    6.17     6.43    6.95
178   5.41    0.57       5.37    6.17     6.43    6.96
179   5.42    0.57       5.37    6.17     6.43    6.96
180   5.42    0.57       5.38    6.18     6.44    6.96
181   5.43    0.57       5.38    6.18     6.44    6.97
182   5.43    0.57       5.38    6.18     6.44    6.97
183   5.43    0.57       5.39    6.19     6.44    6.97
184   5.44    0.57       5.39    6.19     6.45    6.98
185   5.44    0.57       5.39    6.19     6.45    6.98
186   5.44    0.57       5.40    6.20     6.45    6.98
187   5.45    0.57       5.40    6.20     6.46    6.98
188   5.45    0.57       5.40    6.20     6.46    6.99
189   5.45    0.57       5.41    6.20     6.46    6.99
190   5.46    0.57       5.41    6.21     6.47    6.99
191   5.46    0.57       5.41    6.21     6.47    7.00
192   5.46    0.57       5.42    6.21     6.47    7.00
193   5.47    0.57       5.42    6.22     6.48    7.00
194   5.47    0.57       5.43    6.22     6.48    7.00
195   5.48    0.57       5.43    6.22     6.48    7.01
196   5.48    0.57       5.43    6.23     6.48    7.01
197   5.48    0.57       5.44    6.23     6.49    7.01
198   5.49    0.57       5.44    6.23     6.49    7.02
199   5.49    0.57       5.44    6.24     6.49    7.02
200   5.49    0.57       5.45    6.24     6.50    7.02
201   5.50    0.57       5.45    6.24     6.50    7.02
202   5.50    0.57       5.45    6.24     6.50    7.03
203   5.50    0.56       5.46    6.25     6.50    7.03
204   5.51    0.56       5.46    6.25     6.51    7.03
205   5.51    0.56       5.46    6.25     6.51    7.03
206   5.51    0.56       5.46    6.26     6.51    7.04
207   5.51    0.56       5.47    6.26     6.52    7.04
208   5.52    0.56       5.47    6.26     6.52    7.04
209   5.52    0.56       5.47    6.27     6.52    7.04
210   5.52    0.56       5.48    6.27     6.52    7.05
211   5.53    0.56       5.48    6.27     6.53    7.05
212   5.53    0.56       5.48    6.27     6.53    7.05
213   5.53    0.56       5.49    6.28     6.53    7.05
