  n  E[WN]   sigma_WN     W50     W90      W95     W99 
1258   6.61    0.49       6.57    7.26     7.49    7.96
1259   6.61    0.49       6.57    7.26     7.49    7.96
1260   6.61    0.49       6.57    7.26     7.49    7.96
1261   6.61    0.49       6.57    7.26     7.49    7.96
1262   6.62    0.49       6.57    7.26     7.49    7.96
1263   6.62    0.49       6.57    7.26     7.49    7.96
1264   6.62    0.49       6.57    7.26     7.49    7.96
1265   6.62    0.49       6.57    7.26     7.49    7.96
1266   6.62    0.49       6.57    7.26     7.49    7.96
1267   6.62    0.49       6.57    7.26     7.49    7.96
1268   6.62    0.49       6.57    7.26     7.49    7.96
1269   6.62    0.49       6.57    7.26     7.49    7.96
1270   6.62    0.49       6.57    7.26     7.49    7.96
1271   6.62    0.49       6.57    7.26     7.49    7.96
1272   6.62    0.49       6.57    7.27     7.49    7.96
1273   6.62    0.49       6.58    7.27     7.49    7.96
1274   6.62    0.49       6.58    7.27     7.49    7.96
1275   6.62    0.49       6.58    7.27     7.49    7.96
1276   6.62    0.49       6.58    7.27     7.49    7.96
1277   6.62    0.49       6.58    7.27     7.49    7.96
1278   6.62    0.49       6.58    7.27     7.49    7.96
1279   6.62    0.49       6.58    7.27     7.50    7.96
1280   6.62    0.49       6.58    7.27     7.50    7.96
1281   6.62    0.49       6.58    7.27     7.50    7.96
1282   6.62    0.49       6.58    7.27     7.50    7.96
1283   6.62    0.49       6.58    7.27     7.50    7.97
1284   6.63    0.49       6.58    7.27     7.50    7.97
1285   6.63    0.49       6.58    7.27     7.50    7.97
1286   6.63    0.49       6.58    7.27     7.50    7.97
1287   6.63    0.49       6.58    7.27     7.50    7.97
1288   6.63    0.49       6.58    7.27     7.50    7.97
1289   6.63    0.49       6.58    7.27     7.50    7.97
1290   6.63    0.49       6.58    7.27     7.50    7.97
1291   6.63    0.49       6.58    7.27     7.50    7.97
1292   6.63    0.49       6.58    7.27     7.50    7.97
1293   6.63    0.49       6.58    7.27     7.50    7.97
1294   6.63    0.49       6.58    7.27     7.50    7.97
1295   6.63    0.49       6.58    7.27     7.50    7.97
1296   6.63    0.49       6.59    7.27     7.50    7.97
1297   6.63    0.49       6.59    7.28     7.50    7.97
1298   6.63    0.49       6.59    7.28     7.50    7.97
1299   6.63    0.49       6.59    7.28     7.50    7.97
1300   6.63    0.49       6.59    7.28     7.50    7.97
1301   6.63    0.49       6.59    7.28     7.50    7.97
1302   6.63    0.49       6.59    7.28     7.50    7.97
1303   6.63    0.49       6.59    7.28     7.50    7.97
1304   6.63    0.49       6.59    7.28     7.51    7.97
1305   6.63    0.49       6.59    7.28     7.51    7.97
1306   6.63    0.49       6.59    7.28     7.51    7.97
1307   6.64    0.49       6.59    7.28     7.51    7.97
1308   6.64    0.49       6.59    7.28     7.51    7.97
1309   6.64    0.49       6.59    7.28     7.51    7.97
1310   6.64    0.49       6.59    7.28     7.51    7.98
1311   6.64    0.49       6.59    7.28     7.51    7.98
1312   6.64    0.49       6.59    7.28     7.51    7.98
1313   6.64    0.49       6.59    7.28     7.51    7.98
1314   6.64    0.49       6.59    7.28     7.51    7.98
1315   6.64    0.49       6.59    7.28     7.51    7.98
1316   6.64    0.49       6.59    7.28     7.51    7.98
1317   6.64    0.49       6.59    7.28     7.51    7.98
1318   6.64    0.49       6.59    7.28     7.51    7.98
1319   6.64    0.49       6.60    7.28     7.51    7.98
1320   6.64    0.49       6.60    7.28     7.51    7.98
1321   6.64    0.49       6.60    7.28     7.51    7.98
1322   6.64    0.49       6.60    7.29     7.51    7.98
1323   6.64    0.49       6.60    7.29     7.51    7.98
1324   6.64    0.49       6.60    7.29     7.51    7.98
1325   6.64    0.49       6.60    7.29     7.51    7.98
1326   6.64    0.49       6.60    7.29     7.51    7.98
1327   6.64    0.49       6.60    7.29     7.51    7.98
1328   6.64    0.49       6.60    7.29     7.51    7.98
1329   6.64    0.49       6.60    7.29     7.52    7.98
1330   6.64    0.49       6.60    7.29     7.52    7.98
1331   6.65    0.49       6.60    7.29     7.52    7.98
1332   6.65    0.49       6.60    7.29     7.52    7.98
1333   6.65    0.49       6.60    7.29     7.52    7.98
1334   6.65    0.49       6.60    7.29     7.52    7.98
1335   6.65    0.49       6.60    7.29     7.52    7.98
1336   6.65    0.49       6.60    7.29     7.52    7.98
1337   6.65    0.49       6.60    7.29     7.52    7.98
1338   6.65    0.49       6.60    7.29     7.52    7.99
1339   6.65    0.49       6.60    7.29     7.52    7.99
1340   6.65    0.49       6.60    7.29     7.52    7.99
1341   6.65    0.49       6.60    7.29     7.52    7.99
1342   6.65    0.49       6.61    7.29     7.52    7.99
1343   6.65    0.49       6.61    7.29     7.52    7.99
1344   6.65    0.49       6.61    7.29     7.52    7.99
1345   6.65    0.49       6.61    7.29     7.52    7.99
1346   6.65    0.49       6.61    7.29     7.52    7.99
1347   6.65    0.49       6.61    7.29     7.52    7.99
1348   6.65    0.49       6.61    7.29     7.52    7.99
1349   6.65    0.49       6.61    7.30     7.52    7.99
1350   6.65    0.49       6.61    7.30     7.52    7.99
1351   6.65    0.49       6.61    7.30     7.52    7.99
1352   6.65    0.49       6.61    7.30     7.52    7.99
1353   6.65    0.49       6.61    7.30     7.52    7.99
1354   6.65    0.49       6.61    7.30     7.52    7.99
1355   6.66    0.49       6.61    7.30     7.52    7.99
1356   6.66    0.49       6.61    7.30     7.53    7.99
1357   6.66    0.49       6.61    7.30     7.53    7.99
1358   6.66    0.49       6.61    7.30     7.53    7.99
1359   6.66    0.49       6.61    7.30     7.53    7.99
1360   6.66    0.49       6.61    7.30     7.53    7.99
1361   6.66    0.49       6.61    7.30     7.53    7.99
1362   6.66    0.49       6.61    7.30     7.53    7.99
1363   6.66    0.49       6.61    7.30     7.53    7.99
1364   6.66    0.49       6.61    7.30     7.53    7.99
1365   6.66    0.49       6.61    7.30     7.53    7.99
1366   6.66    0.49       6.62    7.30     7.53    7.99
1367   6.66    0.49       6.62    7.30     7.53    8.00
1368   6.66    0.49       6.62    7.30     7.53    8.00
1369   6.66    0.49       6.62    7.30     7.53    8.00
1370   6.66    0.49       6.62    7.30     7.53    8.00
1371   6.66    0.49       6.62    7.30     7.53    8.00
1372   6.66    0.49       6.62    7.30     7.53    8.00
1373   6.66    0.49       6.62    7.30     7.53    8.00
1374   6.66    0.49       6.62    7.30     7.53    8.00
1375   6.66    0.49       6.62    7.31     7.53    8.00
1376   6.66    0.49       6.62    7.31     7.53    8.00
1377   6.66    0.49       6.62    7.31     7.53    8.00
1378   6.66    0.49       6.62    7.31     7.53    8.00
1379   6.67    0.49       6.62    7.31     7.53    8.00
1380   6.67    0.49       6.62    7.31     7.53    8.00
1381   6.67    0.49       6.62    7.31     7.53    8.00
1382   6.67    0.49       6.62    7.31     7.53    8.00
1383   6.67    0.49       6.62    7.31     7.54    8.00
1384   6.67    0.49       6.62    7.31     7.54    8.00
1385   6.67    0.49       6.62    7.31     7.54    8.00
1386   6.67    0.49       6.62    7.31     7.54    8.00
1387   6.67    0.48       6.62    7.31     7.54    8.00
1388   6.67    0.48       6.62    7.31     7.54    8.00
1389   6.67    0.48       6.62    7.31     7.54    8.00
1390   6.67    0.48       6.62    7.31     7.54    8.00
1391   6.67    0.48       6.63    7.31     7.54    8.00
1392   6.67    0.48       6.63    7.31     7.54    8.00
1393   6.67    0.48       6.63    7.31     7.54    8.00
1394   6.67    0.48       6.63    7.31     7.54    8.00
1395   6.67    0.48       6.63    7.31     7.54    8.00
1396   6.67    0.48       6.63    7.31     7.54    8.01
1397   6.67    0.48       6.63    7.31     7.54    8.01
1398   6.67    0.48       6.63    7.31     7.54    8.01
1399   6.67    0.48       6.63    7.31     7.54    8.01
1400   6.67    0.48       6.63    7.31     7.54    8.01
1401   6.67    0.48       6.63    7.32     7.54    8.01
1402   6.67    0.48       6.63    7.32     7.54    8.01
1403   6.67    0.48       6.63    7.32     7.54    8.01
1404   6.68    0.48       6.63    7.32     7.54    8.01
1405   6.68    0.48       6.63    7.32     7.54    8.01
1406   6.68    0.48       6.63    7.32     7.54    8.01
1407   6.68    0.48       6.63    7.32     7.54    8.01
1408   6.68    0.48       6.63    7.32     7.54    8.01
1409   6.68    0.48       6.63    7.32     7.54    8.01
1410   6.68    0.48       6.63    7.32     7.54    8.01
1411   6.68    0.48       6.63    7.32     7.54    8.01
1412   6.68    0.48       6.63    7.32     7.55    8.01
1413   6.68    0.48       6.63    7.32     7.55    8.01
1414   6.68    0.48       6.63    7.32     7.55    8.01
1415   6.68    0.48       6.63    7.32     7.55    8.01
1416   6.68    0.48       6.64    7.32     7.55    8.01
1417   6.68    0.48       6.64    7.32     7.55    8.01
1418   6.68    0.48       6.64    7.32     7.55    8.01
1419   6.68    0.48       6.64    7.32     7.55    8.01
1420   6.68    0.48       6.64    7.32     7.55    8.01
1421   6.68    0.48       6.64    7.32     7.55    8.01
1422   6.68    0.48       6.64    7.32     7.55    8.01
1423   6.68    0.48       6.64    7.32     7.55    8.01
1424   6.68    0.48       6.64    7.32     7.55    8.02
1425   6.68    0.48       6.64    7.32     7.55    8.02
1426   6.68    0.48       6.64    7.32     7.55    8.02
1427   6.68    0.48       6.64    7.32     7.55    8.02
1428   6.68    0.48       6.64    7.33     7.55    8.02
1429   6.69    0.48       6.64    7.33     7.55    8.02
1430   6.69    0.48       6.64    7.33     7.55    8.02
1431   6.69    0.48       6.64    7.33     7.55    8.02
1432   6.69    0.48       6.64    7.33     7.55    8.02
1433   6.69    0.48       6.64    7.33     7.55    8.02
1434   6.69    0.48       6.64    7.33     7.55    8.02
1435   6.69    0.48       6.64    7.33     7.55    8.02
1436   6.69    0.48       6.64    7.33     7.55    8.02
1437   6.69    0.48       6.64    7.33     7.55    8.02
1438   6.69    0.48       6.64    7.33     7.55    8.02
1439   6.69    0.48       6.64    7.33     7.55    8.02
1440   6.69    0.48       6.64    7.33     7.55    8.02
1441   6.69    0.48       6.64    7.33     7.56    8.02
1442   6.69    0.48       6.65    7.33     7.56    8.02
1443   6.69    0.48       6.65    7.33     7.56    8.02
1444   6.69    0.48       6.65    7.33     7.56    8.02
1445   6.69    0.48       6.65    7.33     7.56    8.02
1446   6.69    0.48       6.65    7.33     7.56    8.02
1447   6.69    0.48       6.65    7.33     7.56    8.02
1448   6.69    0.48       6.65    7.33     7.56    8.02
1449   6.69    0.48       6.65    7.33     7.56    8.02
1450   6.69    0.48       6.65    7.33     7.56    8.02
1451   6.69    0.48       6.65    7.33     7.56    8.02
1452   6.69    0.48       6.65    7.33     7.56    8.02
1453   6.69    0.48       6.65    7.33     7.56    8.02
1454   6.69    0.48       6.65    7.33     7.56    8.03
1455   6.70    0.48       6.65    7.33     7.56    8.03
1456   6.70    0.48       6.65    7.33     7.56    8.03
1457   6.70    0.48       6.65    7.34     7.56    8.03
1458   6.70    0.48       6.65    7.34     7.56    8.03
1459   6.70    0.48       6.65    7.34     7.56    8.03
1460   6.70    0.48       6.65    7.34     7.56    8.03
1461   6.70    0.48       6.65    7.34     7.56    8.03
1462   6.70    0.48       6.65    7.34     7.56    8.03
1463   6.70    0.48       6.65    7.34     7.56    8.03
1464   6.70    0.48       6.65    7.34     7.56    8.03
1465   6.70    0.48       6.65    7.34     7.56    8.03
1466   6.70    0.48       6.65    7.34     7.56    8.03
1467   6.70    0.48       6.65    7.34     7.56    8.03
1468   6.70    0.48       6.66    7.34     7.57    8.03
1469   6.70    0.48       6.66    7.34     7.57    8.03
1470   6.70    0.48       6.66    7.34     7.57    8.03
1471   6.70    0.48       6.66    7.34     7.57    8.03
1472   6.70    0.48       6.66    7.34     7.57    8.03
1473   6.70    0.48       6.66    7.34     7.57    8.03
1474   6.70    0.48       6.66    7.34     7.57    8.03
1475   6.70    0.48       6.66    7.34     7.57    8.03
1476   6.70    0.48       6.66    7.34     7.57    8.03
1477   6.70    0.48       6.66    7.34     7.57    8.03
1478   6.70    0.48       6.66    7.34     7.57    8.03
1479   6.70    0.48       6.66    7.34     7.57    8.03
1480   6.70    0.48       6.66    7.34     7.57    8.03
1481   6.71    0.48       6.66    7.34     7.57    8.03
1482   6.71    0.48       6.66    7.34     7.57    8.03
1483   6.71    0.48       6.66    7.34     7.57    8.03
1484   6.71    0.48       6.66    7.34     7.57    8.03
1485   6.71    0.48       6.66    7.34     7.57    8.04
1486   6.71    0.48       6.66    7.35     7.57    8.04
1487   6.71    0.48       6.66    7.35     7.57    8.04
1488   6.71    0.48       6.66    7.35     7.57    8.04
1489   6.71    0.48       6.66    7.35     7.57    8.04
1490   6.71    0.48       6.66    7.35     7.57    8.04
1491   6.71    0.48       6.66    7.35     7.57    8.04
1492   6.71    0.48       6.66    7.35     7.57    8.04
1493   6.71    0.48       6.66    7.35     7.57    8.04
1494   6.71    0.48       6.67    7.35     7.57    8.04
1495   6.71    0.48       6.67    7.35     7.57    8.04
1496   6.71    0.48       6.67    7.35     7.57    8.04
1497   6.71    0.48       6.67    7.35     7.58    8.04
1498   6.71    0.48       6.67    7.35     7.58    8.04
1499   6.71    0.48       6.67    7.35     7.58    8.04
1500   6.71    0.48       6.67    7.35     7.58    8.04
1501   6.71    0.48       6.67    7.35     7.58    8.04
1502   6.71    0.48       6.67    7.35     7.58    8.04
1503   6.71    0.48       6.67    7.35     7.58    8.04
1504   6.71    0.48       6.67    7.35     7.58    8.04
1505   6.71    0.48       6.67    7.35     7.58    8.04
1506   6.71    0.48       6.67    7.35     7.58    8.04
1507   6.71    0.48       6.67    7.35     7.58    8.04
1508   6.72    0.48       6.67    7.35     7.58    8.04
1509   6.72    0.48       6.67    7.35     7.58    8.04
1510   6.72    0.48       6.67    7.35     7.58    8.04
1511   6.72    0.48       6.67    7.35     7.58    8.04
1512   6.72    0.48       6.67    7.35     7.58    8.04
1513   6.72    0.48       6.67    7.35     7.58    8.04
1514   6.72    0.48       6.67    7.35     7.58    8.04
1515   6.72    0.48       6.67    7.35     7.58    8.04
1516   6.72    0.48       6.67    7.36     7.58    8.04
1517   6.72    0.48       6.67    7.36     7.58    8.04
1518   6.72    0.48       6.67    7.36     7.58    8.05
1519   6.72    0.48       6.67    7.36     7.58    8.05
1520   6.72    0.48       6.67    7.36     7.58    8.05
1521   6.72    0.48       6.68    7.36     7.58    8.05
1522   6.72    0.48       6.68    7.36     7.58    8.05
1523   6.72    0.48       6.68    7.36     7.58    8.05
1524   6.72    0.48       6.68    7.36     7.58    8.05
1525   6.72    0.48       6.68    7.36     7.58    8.05
1526   6.72    0.48       6.68    7.36     7.58    8.05
1527   6.72    0.48       6.68    7.36     7.58    8.05
1528   6.72    0.48       6.68    7.36     7.59    8.05
1529   6.72    0.48       6.68    7.36     7.59    8.05
1530   6.72    0.48       6.68    7.36     7.59    8.05
1531   6.72    0.48       6.68    7.36     7.59    8.05
1532   6.72    0.48       6.68    7.36     7.59    8.05
1533   6.72    0.48       6.68    7.36     7.59    8.05
1534   6.72    0.48       6.68    7.36     7.59    8.05
1535   6.72    0.48       6.68    7.36     7.59    8.05
1536   6.73    0.48       6.68    7.36     7.59    8.05
1537   6.73    0.48       6.68    7.36     7.59    8.05
1538   6.73    0.48       6.68    7.36     7.59    8.05
1539   6.73    0.48       6.68    7.36     7.59    8.05
1540   6.73    0.48       6.68    7.36     7.59    8.05
1541   6.73    0.48       6.68    7.36     7.59    8.05
1542   6.73    0.48       6.68    7.36     7.59    8.05
1543   6.73    0.48       6.68    7.36     7.59    8.05
1544   6.73    0.48       6.68    7.37     7.59    8.05
1545   6.73    0.48       6.68    7.37     7.59    8.05
1546   6.73    0.48       6.68    7.37     7.59    8.05
1547   6.73    0.48       6.68    7.37     7.59    8.05
1548   6.73    0.48       6.68    7.37     7.59    8.05
1549   6.73    0.48       6.69    7.37     7.59    8.05
1550   6.73    0.48       6.69    7.37     7.59    8.05
1551   6.73    0.48       6.69    7.37     7.59    8.06
1552   6.73    0.48       6.69    7.37     7.59    8.06
1553   6.73    0.48       6.69    7.37     7.59    8.06
1554   6.73    0.48       6.69    7.37     7.59    8.06
1555   6.73    0.48       6.69    7.37     7.59    8.06
1556   6.73    0.48       6.69    7.37     7.59    8.06
1557   6.73    0.48       6.69    7.37     7.59    8.06
1558   6.73    0.48       6.69    7.37     7.59    8.06
1559   6.73    0.48       6.69    7.37     7.59    8.06
1560   6.73    0.48       6.69    7.37     7.60    8.06
1561   6.73    0.48       6.69    7.37     7.60    8.06
1562   6.73    0.48       6.69    7.37     7.60    8.06
1563   6.74    0.48       6.69    7.37     7.60    8.06
1564   6.74    0.48       6.69    7.37     7.60    8.06
1565   6.74    0.48       6.69    7.37     7.60    8.06
1566   6.74    0.48       6.69    7.37     7.60    8.06
1567   6.74    0.48       6.69    7.37     7.60    8.06
1568   6.74    0.48       6.69    7.37     7.60    8.06
1569   6.74    0.48       6.69    7.37     7.60    8.06
1570   6.74    0.48       6.69    7.37     7.60    8.06
1571   6.74    0.48       6.69    7.37     7.60    8.06
1572   6.74    0.48       6.69    7.37     7.60    8.06
1573   6.74    0.48       6.69    7.37     7.60    8.06
1574   6.74    0.48       6.69    7.38     7.60    8.06
1575   6.74    0.48       6.69    7.38     7.60    8.06
1576   6.74    0.48       6.69    7.38     7.60    8.06
1577   6.74    0.48       6.70    7.38     7.60    8.06
1578   6.74    0.48       6.70    7.38     7.60    8.06
1579   6.74    0.48       6.70    7.38     7.60    8.06
1580   6.74    0.48       6.70    7.38     7.60    8.06
1581   6.74    0.48       6.70    7.38     7.60    8.06
1582   6.74    0.48       6.70    7.38     7.60    8.07
1583   6.74    0.48       6.70    7.38     7.60    8.07
1584   6.74    0.48       6.70    7.38     7.60    8.07
1585   6.74    0.48       6.70    7.38     7.60    8.07
1586   6.74    0.48       6.70    7.38     7.60    8.07
1587   6.74    0.48       6.70    7.38     7.60    8.07
1588   6.74    0.48       6.70    7.38     7.60    8.07
1589   6.74    0.48       6.70    7.38     7.60    8.07
1590   6.74    0.48       6.70    7.38     7.60    8.07
1591   6.74    0.48       6.70    7.38     7.60    8.07
1592   6.75    0.48       6.70    7.38     7.61    8.07
1593   6.75    0.48       6.70    7.38     7.61    8.07
1594   6.75    0.48       6.70    7.38     7.61    8.07
1595   6.75    0.48       6.70    7.38     7.61    8.07
1596   6.75    0.48       6.70    7.38     7.61    8.07
1597   6.75    0.48       6.70    7.38     7.61    8.07
1598   6.75    0.48       6.70    7.38     7.61    8.07
1599   6.75    0.48       6.70    7.38     7.61    8.07
1600   6.75    0.48       6.70    7.38     7.61    8.07
1601   6.75    0.48       6.70    7.38     7.61    8.07
1602   6.75    0.48       6.70    7.38     7.61    8.07
1603   6.75    0.48       6.70    7.38     7.61    8.07
1604   6.75    0.48       6.70    7.38     7.61    8.07
1605   6.75    0.48       6.71    7.38     7.61    8.07
1606   6.75    0.48       6.71    7.39     7.61    8.07
1607   6.75    0.48       6.71    7.39     7.61    8.07
1608   6.75    0.48       6.71    7.39     7.61    8.07
1609   6.75    0.48       6.71    7.39     7.61    8.07
1610   6.75    0.48       6.71    7.39     7.61    8.07
1611   6.75    0.48       6.71    7.39     7.61    8.07
1612   6.75    0.48       6.71    7.39     7.61    8.07
1613   6.75    0.48       6.71    7.39     7.61    8.07
1614   6.75    0.48       6.71    7.39     7.61    8.07
1615   6.75    0.48       6.71    7.39     7.61    8.08
1616   6.75    0.48       6.71    7.39     7.61    8.08
1617   6.75    0.48       6.71    7.39     7.61    8.08
1618   6.75    0.48       6.71    7.39     7.61    8.08
1619   6.75    0.48       6.71    7.39     7.61    8.08
1620   6.75    0.48       6.71    7.39     7.61    8.08
1621   6.76    0.48       6.71    7.39     7.61    8.08
1622   6.76    0.48       6.71    7.39     7.61    8.08
1623   6.76    0.48       6.71    7.39     7.62    8.08
1624   6.76    0.48       6.71    7.39     7.62    8.08
1625   6.76    0.48       6.71    7.39     7.62    8.08
1626   6.76    0.48       6.71    7.39     7.62    8.08
1627   6.76    0.48       6.71    7.39     7.62    8.08
1628   6.76    0.48       6.71    7.39     7.62    8.08
1629   6.76    0.48       6.71    7.39     7.62    8.08
1630   6.76    0.48       6.71    7.39     7.62    8.08
1631   6.76    0.48       6.71    7.39     7.62    8.08
1632   6.76    0.48       6.71    7.39     7.62    8.08
1633   6.76    0.48       6.71    7.39     7.62    8.08
1634   6.76    0.48       6.72    7.39     7.62    8.08
1635   6.76    0.48       6.72    7.39     7.62    8.08
1636   6.76    0.48       6.72    7.39     7.62    8.08
1637   6.76    0.48       6.72    7.39     7.62    8.08
1638   6.76    0.48       6.72    7.39     7.62    8.08
1639   6.76    0.48       6.72    7.40     7.62    8.08
1640   6.76    0.48       6.72    7.40     7.62    8.08
1641   6.76    0.48       6.72    7.40     7.62    8.08
1642   6.76    0.48       6.72    7.40     7.62    8.08
1643   6.76    0.48       6.72    7.40     7.62    8.08
1644   6.76    0.48       6.72    7.40     7.62    8.08
1645   6.76    0.48       6.72    7.40     7.62    8.08
1646   6.76    0.48       6.72    7.40     7.62    8.08
1647   6.76    0.48       6.72    7.40     7.62    8.08
1648   6.76    0.48       6.72    7.40     7.62    8.08
1649   6.76    0.48       6.72    7.40     7.62    8.08
1650   6.77    0.48       6.72    7.40     7.62    8.09
1651   6.77    0.48       6.72    7.40     7.62    8.09
1652   6.77    0.48       6.72    7.40     7.62    8.09
1653   6.77    0.48       6.72    7.40     7.62    8.09
1654   6.77    0.48       6.72    7.40     7.62    8.09
1655   6.77    0.48       6.72    7.40     7.63    8.09
1656   6.77    0.48       6.72    7.40     7.63    8.09
1657   6.77    0.48       6.72    7.40     7.63    8.09
1658   6.77    0.48       6.72    7.40     7.63    8.09
1659   6.77    0.48       6.72    7.40     7.63    8.09
1660   6.77    0.48       6.72    7.40     7.63    8.09
1661   6.77    0.48       6.72    7.40     7.63    8.09
1662   6.77    0.48       6.72    7.40     7.63    8.09
1663   6.77    0.48       6.72    7.40     7.63    8.09
1664   6.77    0.48       6.73    7.40     7.63    8.09
1665   6.77    0.48       6.73    7.40     7.63    8.09
1666   6.77    0.48       6.73    7.40     7.63    8.09
1667   6.77    0.48       6.73    7.40     7.63    8.09
1668   6.77    0.48       6.73    7.40     7.63    8.09
1669   6.77    0.48       6.73    7.40     7.63    8.09
1670   6.77    0.48       6.73    7.40     7.63    8.09
1671   6.77    0.48       6.73    7.41     7.63    8.09
1672   6.77    0.48       6.73    7.41     7.63    8.09
1673   6.77    0.48       6.73    7.41     7.63    8.09
1674   6.77    0.48       6.73    7.41     7.63    8.09
1675   6.77    0.48       6.73    7.41     7.63    8.09
1676   6.77    0.48       6.73    7.41     7.63    8.09
1677   6.77    0.48       6.73    7.41     7.63    8.09
1678   6.77    0.48       6.73    7.41     7.63    8.09
1679   6.77    0.48       6.73    7.41     7.63    8.09
1680   6.77    0.48       6.73    7.41     7.63    8.09
1681   6.78    0.48       6.73    7.41     7.63    8.09
1682   6.78    0.48       6.73    7.41     7.63    8.09
1683   6.78    0.48       6.73    7.41     7.63    8.09
1684   6.78    0.48       6.73    7.41     7.63    8.09
1685   6.78    0.48       6.73    7.41     7.63    8.09
1686   6.78    0.48       6.73    7.41     7.63    8.09
1687   6.78    0.48       6.73    7.41     7.63    8.10
1688   6.78    0.48       6.73    7.41     7.63    8.10
1689   6.78    0.48       6.73    7.41     7.64    8.10
1690   6.78    0.48       6.73    7.41     7.64    8.10
1691   6.78    0.48       6.73    7.41     7.64    8.10
1692   6.78    0.48       6.73    7.41     7.64    8.10
1693   6.78    0.48       6.73    7.41     7.64    8.10
1694   6.78    0.48       6.73    7.41     7.64    8.10
1695   6.78    0.48       6.74    7.41     7.64    8.10
1696   6.78    0.48       6.74    7.41     7.64    8.10
1697   6.78    0.48       6.74    7.41     7.64    8.10
1698   6.78    0.48       6.74    7.41     7.64    8.10
1699   6.78    0.48       6.74    7.41     7.64    8.10
1700   6.78    0.48       6.74    7.41     7.64    8.10
1701   6.78    0.48       6.74    7.41     7.64    8.10
1702   6.78    0.48       6.74    7.41     7.64    8.10
1703   6.78    0.48       6.74    7.42     7.64    8.10
1704   6.78    0.48       6.74    7.42     7.64    8.10
1705   6.78    0.48       6.74    7.42     7.64    8.10
1706   6.78    0.48       6.74    7.42     7.64    8.10
1707   6.78    0.48       6.74    7.42     7.64    8.10
1708   6.78    0.48       6.74    7.42     7.64    8.10
1709   6.78    0.48       6.74    7.42     7.64    8.10
1710   6.78    0.48       6.74    7.42     7.64    8.10
1711   6.79    0.48       6.74    7.42     7.64    8.10
1712   6.79    0.48       6.74    7.42     7.64    8.10
1713   6.79    0.48       6.74    7.42     7.64    8.10
1714   6.79    0.48       6.74    7.42     7.64    8.10
1715   6.79    0.48       6.74    7.42     7.64    8.10
1716   6.79    0.48       6.74    7.42     7.64    8.10
1717   6.79    0.48       6.74    7.42     7.64    8.10
1718   6.79    0.48       6.74    7.42     7.64    8.10
1719   6.79    0.48       6.74    7.42     7.64    8.10
1720   6.79    0.48       6.74    7.42     7.64    8.10
1721   6.79    0.48       6.74    7.42     7.64    8.10
1722   6.79    0.48       6.74    7.42     7.64    8.10
1723   6.79    0.48       6.74    7.42     7.64    8.10
1724   6.79    0.48       6.74    7.42     7.64    8.11
1725   6.79    0.48       6.74    7.42     7.65    8.11
1726   6.79    0.48       6.75    7.42     7.65    8.11
1727   6.79    0.48       6.75    7.42     7.65    8.11
1728   6.79    0.48       6.75    7.42     7.65    8.11
1729   6.79    0.48       6.75    7.42     7.65    8.11
1730   6.79    0.48       6.75    7.42     7.65    8.11
1731   6.79    0.48       6.75    7.42     7.65    8.11
1732   6.79    0.48       6.75    7.42     7.65    8.11
1733   6.79    0.48       6.75    7.42     7.65    8.11
1734   6.79    0.48       6.75    7.42     7.65    8.11
1735   6.79    0.48       6.75    7.42     7.65    8.11
1736   6.79    0.48       6.75    7.43     7.65    8.11
1737   6.79    0.48       6.75    7.43     7.65    8.11
1738   6.79    0.48       6.75    7.43     7.65    8.11
1739   6.79    0.48       6.75    7.43     7.65    8.11
1740   6.79    0.48       6.75    7.43     7.65    8.11
1741   6.79    0.48       6.75    7.43     7.65    8.11
1742   6.79    0.48       6.75    7.43     7.65    8.11
1743   6.80    0.48       6.75    7.43     7.65    8.11
1744   6.80    0.48       6.75    7.43     7.65    8.11
1745   6.80    0.48       6.75    7.43     7.65    8.11
1746   6.80    0.48       6.75    7.43     7.65    8.11
1747   6.80    0.48       6.75    7.43     7.65    8.11
1748   6.80    0.48       6.75    7.43     7.65    8.11
1749   6.80    0.48       6.75    7.43     7.65    8.11
1750   6.80    0.48       6.75    7.43     7.65    8.11
1751   6.80    0.48       6.75    7.43     7.65    8.11
1752   6.80    0.48       6.75    7.43     7.65    8.11
1753   6.80    0.48       6.75    7.43     7.65    8.11
1754   6.80    0.48       6.75    7.43     7.65    8.11
1755   6.80    0.48       6.75    7.43     7.65    8.11
1756   6.80    0.48       6.75    7.43     7.65    8.11
1757   6.80    0.48       6.76    7.43     7.65    8.11
1758   6.80    0.48       6.76    7.43     7.65    8.11
1759   6.80    0.48       6.76    7.43     7.65    8.12
1760   6.80    0.48       6.76    7.43     7.66    8.12
1761   6.80    0.48       6.76    7.43     7.66    8.12
1762   6.80    0.48       6.76    7.43     7.66    8.12
1763   6.80    0.48       6.76    7.43     7.66    8.12
1764   6.80    0.48       6.76    7.43     7.66    8.12
1765   6.80    0.48       6.76    7.43     7.66    8.12
1766   6.80    0.48       6.76    7.43     7.66    8.12
1767   6.80    0.48       6.76    7.43     7.66    8.12
1768   6.80    0.48       6.76    7.43     7.66    8.12
1769   6.80    0.48       6.76    7.43     7.66    8.12
1770   6.80    0.48       6.76    7.43     7.66    8.12
1771   6.80    0.48       6.76    7.44     7.66    8.12
1772   6.80    0.48       6.76    7.44     7.66    8.12
1773   6.80    0.48       6.76    7.44     7.66    8.12
1774   6.80    0.48       6.76    7.44     7.66    8.12
