 1010.0000	  302.0000	   22.0000
   40.0000	  302.0800	   21.7667	    8.1333	    5.9333
 1000.0000	  304.0000	   16.1667	   11.3333	    4.3333
 1200.0000	  305.3000	   15.0000	   12.0000	    4.0000
 2000.0000	  310.5000	   10.3333	    8.0000	    2.0000
 2400.0000	  313.1000	    8.0000	    4.8000	    0.8000
 2700.0000	  315.0500	    3.0000	    2.4000	   -0.1000
 3000.0000	  317.0000	    3.7500	    0.0000	   -1.0000
 3500.0000	  317.2778	    5.0000	   -2.2222	   -1.2778
 4000.0000	  317.5556	    4.5833	   -4.4444	   -1.5556
 4700.0000	  317.9444	    4.0000	   -7.5556	   -1.9444
 4800.0000	  318.0000	    2.7667	   -8.0000	   -2.0000
 5000.0000	  320.4000	    0.3000	    0.0000	    0.0000
 5200.0000	  322.8000	    0.3000	    1.2500	    0.7500
 5800.0000	  330.0000	    0.3000	    5.0000	    3.0000
 6500.0000	  333.1818	    0.3000	    4.5000	    1.5000
 6800.0000	  334.5455	    0.5400	    4.2857	    0.8571
 7000.0000	  335.4545	    0.7000	    4.1429	    0.4286
 7200.0000	  336.3636	    0.6200	    4.0000	    0.0000
 8000.0000	  340.0000	    0.3000	   -1.0000	   -1.0000
 9000.0000	  342.0000	    0.3000	   -4.6000	   -4.6000
10500.0000	  345.0000	    0.3000	  -10.0000	  -10.0000
12000.0000	  350.5714	    0.1380	  -18.5714	    0.0000
13000.0000	  354.2857	    0.0300	  -24.2857	    0.0000
14000.0000	  358.0000	    0.0210	  -30.0000	    0.0000
16000.0000	  370.0000	    0.0030	  -45.0000	   -2.4000
16500.0000	  376.6667	    0.0030	  -40.0000	   -3.0000
17500.0000	  390.0000	    0.0030	  -30.0000	    0.0000
18000.0000	  405.0000	    0.0030	  -25.0000	   -0.7500
19500.0000	  450.0000	    0.0100	  -10.0000	   -3.0000
25000.0000	  630.0000	    0.0100	  -10.0000	    0.0000
