gpm,pot_temp,rh,u,v,temp,pres
0.0,NaN,NaN,NaN,NaN,NaN,NaN
40.0,301.46748910268207,63.1,9.316281343495488,1.017632793034974,28.770000000000003,1005.6500000000001
1000.0,303.89725599566714,77.80000000000001,11.372230172961997,-0.22688128368468563,21.78,902.0
1200.0,304.71867300048814,76.0,11.07325036337158,-0.20768363660367375,20.630000000000003,881.5
2000.0,308.3966506699935,64.0,7.863424384741302,-0.1396192514982681,16.33,803.09
3000.0,313.7785441611582,40.0,7.40329278212281,-2.8418578398942307,11.68,713.2900000000001
4000.0,316.104317831706,55.3,5.562366508582976,-2.849412454129003,3.9800000000000004,631.6800000000001
4800.0,323.1875338724478,9.3,0.059674363826487296,-0.1706006181718122,2.3,572.17
5000.0,326.2146611487158,3.3,0.42526722440334047,-0.6139098994766141,2.9,558.17
5200.0,327.4283264875416,5.0,1.9939206012173478,0.3232273786844802,1.8,544.47
5800.0,330.73228193376633,7.0,0.5397348101119164,0.8560945788516204,-1.29,505.07
6800.0,334.7058419705664,30.700000000000003,-2.3270861771824176,2.8259161258004926,-7.92,444.84999999999997
7200.0,335.5129297934776,54.3,-2.971125940298419,2.2261678460179715,-11.120000000000001,422.35999999999996
8000.0,339.80215656907603,46.800000000000004,-3.014212418992937,-2.149474183883875,-15.770000000000001,380.06
9000.0,343.233216858393,54.5,-4.8063084796915945,-1.5088207112159222,-22.999999999999996,332.22
10500.0,348.2226296077503,45.1,-8.91624016790156,-1.1393602496174229,-34.2,269.52000000000004
12000.0,351.4803031012772,43.0,-14.2,-0.0,-46.53,216.24
14000.0,356.0675878408811,26.0,-25.74664717357589,2.5442227959346853,-63.32,158.24
16000.0,368.70003251083943,22.299999999999997,-37.109382669665465,-1.3296708243652873,-75.83,113.16
16500.0,374.45035275216014,22.999999999999996,-30.36170152677733,3.0344612886599807,-78.0,103.76
17500.0,391.9547428281394,22.800000000000004,-23.930528791125376,2.681286730789557,-78.9,87.06
19500.0,457.77285211891314,11.0,-6.981926512402102,-3.0153822980010614,-67.26,61.22
