gpm,pot_temp,rh,u,v,temp,pres
0.0,NaN,NaN,NaN,NaN,NaN,NaN
40.0,301.46748910268207,51.6,8.768353081920747,3.0943507679175983,28.82,1006.41
1000.0,303.5127312702792,80.0,12.678068774583041,-0.22129651362475491,21.51,902.6
1200.0,304.3016732327223,77.0,11.983554417054886,-0.3531829066293098,20.42,882.01
2000.0,308.20636506048083,63.0,8.143785142669296,-0.26523617493900736,16.32,803.69
3000.0,312.80156540531516,55.0,7.189096596989119,-1.423504748063864,10.8,713.78
4000.0,316.80287518651045,58.8,0.525045486800831,-1.6278407722857833,4.6,632.3
4800.0,324.9556290027732,4.8,-3.990256201039297,-0.3543514904773452,3.8,572.9
5000.0,326.09957465295975,6.0,-4.695108483522267,-0.9979761159252448,2.8199999999999994,558.9
5200.0,326.8829553613114,7.9,-6.021384560779166,-0.6337205857067669,1.52,545.2
5800.0,330.73748468934133,7.0,-3.785539852748633,-0.4769883100088044,-1.29,505.8
6800.0,335.0621435904135,10.9,-0.05580517899530024,-0.025106335676292772,-7.59,445.5
7200.0,336.11920428034045,39.0,1.255656916438013,0.6992655043479048,-10.7,423.1
8000.0,340.12782412931887,32.9,-0.1155173340852782,2.5611034978960205,-15.290000000000001,380.9
9000.0,343.35293025790986,25.0,1.8629677944499132,1.5501390784788278,-22.7,333.1
10500.0,347.43203092567575,41.0,-4.873392511218839,-0.37377360968378537,-34.58,270.1
12000.0,350.9237173948813,47.0,-17.50358535848161,-0.7356813904887205,-46.82000000000001,216.7
14000.0,357.30187754923907,29.799999999999997,-32.4,1.9259631897403329,-62.7,158.4
16000.0,367.4847502086364,26.0,-38.48761755901679,8.885566646582667,-76.7,113.14
16500.0,373.8954764386131,26.8,-29.839674916269903,5.26153978330799,-78.3,103.63999999999999
17500.0,391.33368972333767,27.0,-23.578186148506713,-3.5910252929865734,-78.9,86.9
19500.0,453.0896673584924,18.5,-11.593344243339835,-1.0789880952160082,-69.4,61.459999999999994
