gpm,pot_temp,rh,u,v,temp,pres
0.0,NaN,NaN,NaN,NaN,NaN,NaN
40.0,302.099066833728,69.8,7.400785469365469,4.8195869326627525,29.72,1006.2
1000.0,303.5957786835604,80.0,11.773563172308897,3.0482158845558134,21.62,902.2
1200.0,304.4966220145762,79.0,11.946003959200045,2.137060748217302,20.8,881.6000000000001
2000.0,308.4530940804931,63.7,8.193600505061571,2.9937333258639454,16.5,803.4
3000.0,316.03145377289076,26.0,0.17733887192724804,-0.3572189651478176,14.02,714.26
4000.0,318.2423333367614,46.0,-4.373098535696979,-1.837179014164596,5.9,633.3199999999999
4800.0,319.36954573003914,54.8,-8.137010415481043,-1.407053377971441,-0.8600000000000001,573.68
5000.0,321.42121797313797,14.399999999999999,-5.2428050574615135,0.2747637702754551,-1.2,559.48
5200.0,325.55961340407447,5.0,0.9416376595188938,-1.6244647567051365,0.3,545.5799999999999
5800.0,330.9450713007997,4.0,2.781644997572949,2.761899853669226,-1.0,506.04
6800.0,334.4034437959848,14.0,5.377050331446656,0.28853184451171854,-8.0,445.74
7200.0,335.0725018173859,15.0,3.094309278913365,0.5118177086971523,-11.179999999999998,423.2
8000.0,338.6428185422026,13.0,-1.4386891231017354,-2.470934048697872,-16.28,380.9
9000.0,342.41738238061845,13.0,-5.071571670013529,-6.667990053703474,-23.590000000000003,332.8
10500.0,345.6792727131275,22.0,-10.272172348835937,-6.622106946441953,-35.56,269.56
12000.0,349.8986955071813,31.0,-18.924022793651407,-0.0,-47.4,216.01999999999998
14000.0,357.94779032160864,27.0,-29.17927241010514,-2.29359285670684,-62.269999999999996,158.01999999999998
16000.0,370.00951579693185,24.700000000000003,-42.51617982207371,-3.7564125124240677,-75.3,113.08
16500.0,374.37182983268946,24.400000000000002,-39.97978019380459,-4.20204422335967,-77.9,103.68
17500.0,385.2194277316912,24.0,-27.77576897144455,-2.137058812172578,-81.73,86.94
19500.0,451.636374350589,10.5,-14.525036920136795,-4.900590473779349,-70.32000000000001,61.47
